extract_date,specimen_date,Number_tested,Number_confirmed,Number_hospitalized,Number_deaths
04/07/2020,03/03/2020,9,0,0,0
04/07/2020,03/04/2020,35,5,4,1
04/07/2020,03/05/2020,54,3,1,0
04/07/2020,03/06/2020,39,7,2,0
04/07/2020,03/07/2020,40,7,5,1
04/07/2020,03/08/2020,95,20,14,2
04/07/2020,03/09/2020,259,57,23,8
04/07/2020,03/10/2020,386,67,31,3
04/07/2020,03/11/2020,705,153,50,15
04/07/2020,03/12/2020,1409,352,66,11
04/07/2020,03/13/2020,2061,609,159,26
04/07/2020,03/14/2020,1564,624,186,38
04/07/2020,03/15/2020,2258,1002,240,58
04/07/2020,03/16/2020,4598,2028,399,75
04/07/2020,03/17/2020,5265,2334,431,93
04/07/2020,03/18/2020,5870,2796,522,94
04/07/2020,03/19/2020,7161,3459,663,138
04/07/2020,03/20/2020,7050,3691,727,156
04/07/2020,03/21/2020,3423,2178,626,138
04/07/2020,03/22/2020,3119,2062,682,137
04/07/2020,03/23/2020,4863,3126,897,202
04/07/2020,03/24/2020,5333,3552,1032,231
04/07/2020,03/25/2020,5577,3850,1124,229
04/07/2020,03/26/2020,5737,4006,1242,247
04/07/2020,03/27/2020,5761,4067,1220,241
04/07/2020,03/28/2020,3692,2768,1053,212
04/07/2020,03/29/2020,3830,2812,1065,178
04/07/2020,03/30/2020,6449,4503,1259,233
04/07/2020,03/31/2020,5706,3801,1068,168
04/07/2020,04/01/2020,6396,3921,946,146
04/07/2020,04/02/2020,7707,4550,1122,129
04/07/2020,04/03/2020,6993,3981,1115,94
04/07/2020,04/04/2020,4128,2499,865,49
04/07/2020,04/05/2020,3259,1973,317,6
04/07/2020,04/06/2020,2097,1083,5,1
04/07/2020,04/07/2020,15,5,0,0
04/08/2020,02/02/2020,2,0,0,0
04/08/2020,02/04/2020,1,0,0,0
04/08/2020,02/05/2020,1,0,0,0
04/08/2020,02/08/2020,1,0,0,0
04/08/2020,02/23/2020,1,1,1,0
04/08/2020,02/26/2020,1,0,0,0
04/08/2020,02/27/2020,1,0,0,1
04/08/2020,02/28/2020,2,1,0,0
04/08/2020,02/29/2020,2,1,0,0
04/08/2020,03/01/2020,1,0,0,0
04/08/2020,03/02/2020,4,0,0,0
04/08/2020,03/03/2020,10,0,0,0
04/08/2020,03/04/2020,32,6,5,1
04/08/2020,03/05/2020,63,5,3,1
04/08/2020,03/06/2020,79,10,3,0
04/08/2020,03/07/2020,60,9,6,2
04/08/2020,03/08/2020,108,21,15,3
04/08/2020,03/09/2020,396,66,28,10
04/08/2020,03/10/2020,454,78,35,6
04/08/2020,03/11/2020,788,168,56,17
04/08/2020,03/12/2020,1561,377,82,16
04/08/2020,03/13/2020,2135,642,169,29
04/08/2020,03/14/2020,1666,659,202,43
04/08/2020,03/15/2020,2308,1051,253,60
04/08/2020,03/16/2020,4864,2160,429,81
04/08/2020,03/17/2020,5374,2435,452,93
04/08/2020,03/18/2020,6147,2974,552,100
04/08/2020,03/19/2020,7465,3664,687,147
04/08/2020,03/20/2020,7237,3815,744,162
04/08/2020,03/21/2020,3539,2228,643,138
04/08/2020,03/22/2020,3193,2103,694,144
04/08/2020,03/23/2020,4960,3197,900,203
04/08/2020,03/24/2020,5493,3688,1032,240
04/08/2020,03/25/2020,5701,3952,1128,232
04/08/2020,03/26/2020,5896,4117,1255,258
04/08/2020,03/27/2020,5903,4157,1231,242
04/08/2020,03/28/2020,3740,2807,1052,218
04/08/2020,03/29/2020,3892,2854,1064,188
04/08/2020,03/30/2020,6727,4728,1262,252
04/08/2020,03/31/2020,5863,3893,1081,179
04/08/2020,04/01/2020,6529,4000,952,163
04/08/2020,04/02/2020,8222,4797,1150,149
04/08/2020,04/03/2020,7552,4256,1122,119
04/08/2020,04/04/2020,5038,2932,929,67
04/08/2020,04/05/2020,4177,2388,796,25
04/08/2020,04/06/2020,4558,2532,425,14
04/08/2020,04/07/2020,1549,729,19,0
04/08/2020,04/08/2020,37,20,0,0
04/09/2020,02/02/2020,2,0,0,0
04/09/2020,02/04/2020,1,0,0,0
04/09/2020,02/05/2020,1,0,0,0
04/09/2020,02/08/2020,1,0,0,0
04/09/2020,02/23/2020,1,1,1,0
04/09/2020,02/26/2020,1,0,0,0
04/09/2020,02/27/2020,1,0,0,1
04/09/2020,02/28/2020,2,1,0,0
04/09/2020,02/29/2020,2,1,0,0
04/09/2020,03/01/2020,1,0,0,0
04/09/2020,03/02/2020,4,0,0,0
04/09/2020,03/03/2020,10,0,0,0
04/09/2020,03/04/2020,32,6,5,1
04/09/2020,03/05/2020,63,5,3,1
04/09/2020,03/06/2020,79,11,3,0
04/09/2020,03/07/2020,60,9,6,2
04/09/2020,03/08/2020,108,21,15,3
04/09/2020,03/09/2020,396,66,28,11
04/09/2020,03/10/2020,455,81,35,7
04/09/2020,03/11/2020,788,168,56,17
04/09/2020,03/12/2020,1561,379,82,17
04/09/2020,03/13/2020,2137,648,170,31
04/09/2020,03/14/2020,1666,660,205,44
04/09/2020,03/15/2020,2309,1053,254,64
04/09/2020,03/16/2020,4873,2170,429,85
04/09/2020,03/17/2020,5373,2445,452,97
04/09/2020,03/18/2020,6147,2979,551,107
04/09/2020,03/19/2020,7466,3667,689,156
04/09/2020,03/20/2020,7402,3872,746,169
04/09/2020,03/21/2020,3761,2290,645,148
04/09/2020,03/22/2020,3488,2225,703,156
04/09/2020,03/23/2020,5153,3290,911,222
04/09/2020,03/24/2020,6027,3915,1042,271
04/09/2020,03/25/2020,6058,4127,1137,267
04/09/2020,03/26/2020,6179,4303,1261,299
04/09/2020,03/27/2020,6331,4468,1242,286
04/09/2020,03/28/2020,3932,2951,1060,256
04/09/2020,03/29/2020,4189,3033,1072,227
04/09/2020,03/30/2020,7199,5117,1296,324
04/09/2020,03/31/2020,6364,4289,1102,241
04/09/2020,04/01/2020,6708,4150,973,202
04/09/2020,04/02/2020,8421,4983,1172,217
04/09/2020,04/03/2020,8110,4523,1150,193
04/09/2020,04/04/2020,5224,3019,965,135
04/09/2020,04/05/2020,5152,2854,885,91
04/09/2020,04/06/2020,6705,3638,880,66
04/09/2020,04/07/2020,4065,2206,313,10
04/09/2020,04/08/2020,1407,588,15,0
04/09/2020,04/09/2020,29,11,0,0
04/10/2020,02/02/2020,2,0,0,0
04/10/2020,02/04/2020,1,0,0,0
04/10/2020,02/05/2020,1,0,0,0
04/10/2020,02/08/2020,1,0,0,0
04/10/2020,02/23/2020,1,1,1,0
