name,Strain,gisaid_epi_isl,Collection Data,Region,Country,Admin Division,Region of exposure,Country of exposure,Division of exposure
hCoV-19/Australia/QLD01/2020|EPI_ISL_407894|2020-01-28|Oceania,Australia/QLD01/2020,EPI_ISL_407894,2020-01-28,Oceania,Oceania,Oceania,Asia,Asia,Asia
hCoV-19/Singapore/466/2020|EPI_ISL_475997|2020-01-31|Asia,Singapore/466/2020,EPI_ISL_475997,2020-01-31,Asia,Asia,Asia,Asia,Asia,
hCoV-19/Ghana/TTH10/2020|EPI_ISL_515182|2020-03-27|Africa,Ghana/TTH10/2020,EPI_ISL_515182,2020-03-27,Africa,Africa,Africa,Africa,Africa,
hCoV-19/Mali/M002704/2020|EPI_ISL_487460|2020-04-12|Africa,Mali/M002704/2020,EPI_ISL_487460,2020-04-12,Africa,Africa,Africa,Africa,Africa,
hCoV-19/Uganda/UG001/2020|EPI_ISL_451183|2020-03-25|Africa,Uganda/UG001/2020,EPI_ISL_451183,2020-03-25,Africa,Africa,Africa,Africa,Africa,
hCoV-19/Uganda/UG002/2020|EPI_ISL_451184|2020-03-26|Africa,Uganda/UG002/2020,EPI_ISL_451184,2020-03-26,Africa,Africa,Africa,Africa,Africa,
hCoV-19/UnitedArabEmirates/L920663561/2020|EPI_ISL_520734|2020-04-14|Asia,UnitedArabEmirates/L920663561/2020,EPI_ISL_520734,2020-04-14,Asia,Asia,Asia,Asia,Asia,
hCoV-19/Gabon/ITM-K027/2020|EPI_ISL_539575|2020-03-27|Africa,Gabon/ITM-K027/2020,EPI_ISL_539575,2020-03-27,Africa,Africa,Africa,Africa,Africa,
hCoV-19/Jordan/SR-0336/2020|EPI_ISL_450188|2020-04-06|Asia,Jordan/SR-0336/2020,EPI_ISL_450188,2020-04-06,Asia,Asia,Asia,Asia,Asia,
hCoV-19/Nigeria/ED04-CV158/2020|EPI_ISL_527876|2020-03-25|Africa,Nigeria/ED04-CV158/2020,EPI_ISL_527876,2020-03-25,Africa,Africa,Africa,Africa,Africa,
hCoV-19/Nigeria/ED06-CV159/2020|EPI_ISL_527877|2020-03-25|Africa,Nigeria/ED06-CV159/2020,EPI_ISL_527877,2020-03-25,Africa,Africa,Africa,Africa,Africa,
hCoV-19/Uganda/UG017/2020|EPI_ISL_451199|2020-04-20|Africa,Uganda/UG017/2020,EPI_ISL_451199,2020-04-20,Africa,Africa,Africa,Africa,Africa,
hCoV-19/UnitedArabEmirates/L920647430/2020|EPI_ISL_520733|2020-04-07|Asia,UnitedArabEmirates/L920647430/2020,EPI_ISL_520733,2020-04-07,Asia,Asia,Asia,Asia,Asia,
hCoV-19/Australia/QLD04/2020|EPI_ISL_410718|2020-02-05|Oceania,Australia/QLD04/2020,EPI_ISL_410718,2020-02-05,Oceania,Oceania,Oceania,Oceania,Oceania,
hCoV-19/SierraLeone/KGH-G-8626/2020|EPI_ISL_512817|2020-04-10|Africa,SierraLeone/KGH-G-8626/2020,EPI_ISL_512817,2020-04-10,Africa,Africa,Africa,Africa,Africa,
hCoV-19/SierraLeone/KGH-G-8668/2020|EPI_ISL_512819|2020-04-11|Africa,SierraLeone/KGH-G-8668/2020,EPI_ISL_512819,2020-04-11,Africa,Africa,Africa,Africa,Africa,
hCoV-19/Bahrein/BAH-24/2020|EPI_ISL_483638|2020-04-07|Asia,Bahrein/BAH-24/2020,EPI_ISL_483638,2020-04-07,Asia,Asia,Asia,Asia,Asia,
hCoV-19/Gabon/ITM-K011/2020|EPI_ISL_539573|2020-03-22|Africa,Gabon/ITM-K011/2020,EPI_ISL_539573,2020-03-22,Africa,Africa,Africa,Africa,Africa,
hCoV-19/Tunisia/COV0010-12/2020|EPI_ISL_463001|2020-03-18|Africa,Tunisia/COV0010-12/2020,EPI_ISL_463001,2020-03-18,Africa,Africa,Africa,Africa,Africa,
hCoV-19/USA/VA_6171/2020|EPI_ISL_424907|2020-03-06|NorthAmerica,USA/VA_6171/2020,EPI_ISL_424907,2020-03-06,North America,USA,Virginia,North America,USA,
hCoV-19/Benin/1950/2020|EPI_ISL_476830|2020-04-15|Africa,Benin/1950/2020,EPI_ISL_476830,2020-04-15,Africa,Africa,Africa,Europe,Europe,Europe
hCoV-19/Mali/M002644/2020|EPI_ISL_487450|2020-04-08|Africa,Mali/M002644/2020,EPI_ISL_487450,2020-04-08,Africa,Africa,Africa,Africa,Africa,
hCoV-19/Nigeria/KW298-CV48/2020|EPI_ISL_487107|2020-05-08|Africa,Nigeria/KW298-CV48/2020,EPI_ISL_487107,2020-05-08,Africa,Africa,Africa,Africa,Africa,
hCoV-19/Tunisia/MHT_2/2020|EPI_ISL_458286|2020-03-24|Africa,Tunisia/MHT_2/2020,EPI_ISL_458286,2020-03-24,Africa,Africa,Africa,Africa,Africa,
hCoV-19/Egypt/MASRI-009/2020|EPI_ISL_483035|2020-04-30|Africa,Egypt/MASRI-009/2020,EPI_ISL_483035,2020-04-30,Africa,Africa,Africa,Africa,Africa,
hCoV-19/Benin/2012/2020|EPI_ISL_476831|2020-04-15|Africa,Benin/2012/2020,EPI_ISL_476831,2020-04-15,Africa,Africa,Africa,Europe,Europe,Europe
hCoV-19/Ghana/84162_S45/2020|EPI_ISL_515103|2020-04-25|Africa,Ghana/84162_S45/2020,EPI_ISL_515103,2020-04-25,Africa,Africa,Africa,Africa,Africa,
hCoV-19/USA/IL-NM0105/2020|EPI_ISL_444590|2020-03-20|NorthAmerica,USA/IL-NM0105/2020,EPI_ISL_444590,2020-03-20,North America,USA,Illinois,North America,USA,
hCoV-19/USA/CA-CDC-1/2020|EPI_ISL_406034|2020-01-23|NorthAmerica,USA/CA-CDC-1/2020,EPI_ISL_406034,2020-01-23,North America,USA,California,Asia,Asia,Asia
hCoV-19/Vietnam/CM99/2020|EPI_ISL_416429|2020-02-11|Asia,Vietnam/CM99/2020,EPI_ISL_416429,2020-02-11,Asia,Asia,Asia,Asia,Asia,
hCoV-19/Vietnam/38142/2020|EPI_ISL_416427|2020-01-24|Asia,Vietnam/38142/2020,EPI_ISL_416427,2020-01-24,Asia,Asia,Asia,Asia,Asia,
hCoV-19/Vietnam/VR03-38142/2020|EPI_ISL_408668|2020-01-24|Asia,Vietnam/VR03-38142/2020,EPI_ISL_408668,2020-01-24,Asia,Asia,Asia,Asia,Asia,
hCoV-19/SouthKorea/KCDC2013/2020|EPI_ISL_426183|2020-02-23|Asia,SouthKorea/KCDC2013/2020,EPI_ISL_426183,2020-02-23,Asia,Asia,Asia,Asia,Asia,
hCoV-19/USA/IL2/2020|EPI_ISL_410045|2020-01-28|NorthAmerica,USA/IL2/2020,EPI_ISL_410045,2020-01-28,North America,USA,Illinois,Asia,Asia,Asia
hCoV-19/USA/IL-NM070/2020|EPI_ISL_444565|2020-03-18|NorthAmerica,USA/IL-NM070/2020,EPI_ISL_444565,2020-03-18,North America,USA,Illinois,North America,USA,
hCoV-19/USA/WY-WYPHL-00029/2020|EPI_ISL_462922|2020-03-21|NorthAmerica,USA/WY-WYPHL-00029/2020,EPI_ISL_462922,2020-03-21,North America,USA,Wyoming,North America,USA,
hCoV-19/USA/SC-DHEC-0055/2020|EPI_ISL_491104|2020-03-27|NorthAmerica,USA/SC-DHEC-0055/2020,EPI_ISL_491104,2020-03-27,North America,USA,South Carolina,North America,USA,
hCoV-19/USA/GA_2343/2020|EPI_ISL_424864|2020-03-10|NorthAmerica,USA/GA_2343/2020,EPI_ISL_424864,2020-03-10,North America,USA,Georgia,North America,USA,
hCoV-19/Canada/NB_271/2020|EPI_ISL_481756|2020-04-10|NorthAmerica,Canada/NB_271/2020,EPI_ISL_481756,2020-04-10,North America,Canada,New Brunswick,North America,Canada,
hCoV-19/USA/DE-DHSS-F917680/2020|EPI_ISL_574586|2020-03-23|NorthAmerica,USA/DE-DHSS-F917680/2020,EPI_ISL_574586,2020-03-23,North America,USA,Delaware,North America,USA,
hCoV-19/USA/PA-MGEL110/2020|EPI_ISL_454387|2020-04-04|NorthAmerica,USA/PA-MGEL110/2020,EPI_ISL_454387,2020-04-04,North America,USA,Pennsylvania,North America,USA,
hCoV-19/USA/SC_6370/2020|EPI_ISL_424888|2020-03-08|NorthAmerica,USA/SC_6370/2020,EPI_ISL_424888,2020-03-08,North America,USA,South Carolina,North America,USA,
hCoV-19/USA/SC-DHEC-0032/2020|EPI_ISL_529174|2020-03-20|NorthAmerica,USA/SC-DHEC-0032/2020,EPI_ISL_529174,2020-03-20,North America,USA,South Carolina,North America,USA,
hCoV-19/USA/GA_1445/2020|EPI_ISL_420788|2020-03-04|NorthAmerica,USA/GA_1445/2020,EPI_ISL_420788,2020-03-04,North America,USA,Georgia,North America,USA,
hCoV-19/USA/GA_1320/2020|EPI_ISL_420786|2020-03-03|NorthAmerica,USA/GA_1320/2020,EPI_ISL_420786,2020-03-03,North America,USA,Georgia,North America,USA,
hCoV-19/USA/SC_3569/2020|EPI_ISL_424841|2020-03-06|NorthAmerica,USA/SC_3569/2020,EPI_ISL_424841,2020-03-06,North America,USA,South Carolina,North America,USA,
hCoV-19/USA/SC_3570/2020|EPI_ISL_424903|2020-03-07|NorthAmerica,USA/SC_3570/2020,EPI_ISL_424903,2020-03-07,North America,USA,South Carolina,North America,USA,
hCoV-19/USA/SC-DHEC-0064/2020|EPI_ISL_529175|2020-03-30|NorthAmerica,USA/SC-DHEC-0064/2020,EPI_ISL_529175,2020-03-30,North America,USA,South Carolina,North America,USA,
hCoV-19/USA/SC-DHEC-0031/2020|EPI_ISL_529173|2020-03-20|NorthAmerica,USA/SC-DHEC-0031/2020,EPI_ISL_529173,2020-03-20,North America,USA,South Carolina,North America,USA,
hCoV-19/USA/SC-DHEC-0093/2020|EPI_ISL_491108|2020-04-24|NorthAmerica,USA/SC-DHEC-0093/2020,EPI_ISL_491108,2020-04-24,North America,USA,South Carolina,North America,USA,
hCoV-19/USA/GA-UW-MAYO64/2020|EPI_ISL_500515|2020-03-22|NorthAmerica,USA/GA-UW-MAYO64/2020,EPI_ISL_500515,2020-03-22,North America,USA,Georgia,North America,USA,
hCoV-19/USA/FL-BPHL-0239/2020|EPI_ISL_480890|2020-05-02|NorthAmerica,USA/FL-BPHL-0239/2020,EPI_ISL_480890,2020-05-02,North America,USA,Florida,North America,USA,
hCoV-19/USA/IL-NM074/2020|EPI_ISL_444569|2020-03-16|NorthAmerica,USA/IL-NM074/2020,EPI_ISL_444569,2020-03-16,North America,USA,Illinois,North America,USA,
hCoV-19/USA/GA-QDX-580/2020|EPI_ISL_571291|2020-03-18|NorthAmerica,USA/GA-QDX-580/2020,EPI_ISL_571291,2020-03-18,North America,USA,Georgia,North America,USA,
hCoV-19/USA/GA-QDX-152/2020|EPI_ISL_467848|2020-03-13|NorthAmerica,USA/GA-QDX-152/2020,EPI_ISL_467848,2020-03-13,North America,USA,Georgia,North America,USA,
hCoV-19/USA/FL-BPHL-1459/2020|EPI_ISL_549241|2020-04-09|NorthAmerica,USA/FL-BPHL-1459/2020,EPI_ISL_549241,2020-04-09,North America,USA,Florida,North America,USA,
hCoV-19/Panama/328726/2020|EPI_ISL_496610|2020-03-08|NorthAmerica,Panama/328726/2020,EPI_ISL_496610,2020-03-08,North America,Panama,Panama Center,North America,USA,USA
hCoV-19/Guatemala/CDC-1234/2020|EPI_ISL_509701|2020-03-19|NorthAmerica,Guatemala/CDC-1234/2020,EPI_ISL_509701,2020-03-19,North America,Guatemala,Guatemala,North America,Guatemala,
hCoV-19/USA/IN-CDC-2013/2020|EPI_ISL_452131|2020-03-09|NorthAmerica,USA/IN-CDC-2013/2020,EPI_ISL_452131,2020-03-09,North America,USA,Indiana,North America,USA,
hCoV-19/USA/VA-DCLS-0544/2020|EPI_ISL_485845|2020-03-11|NorthAmerica,USA/VA-DCLS-0544/2020,EPI_ISL_485845,2020-03-11,North America,USA,Virginia,North America,USA,
hCoV-19/USA/FL-BPHL-0682/2020|EPI_ISL_509740|2020-03-26|NorthAmerica,USA/FL-BPHL-0682/2020,EPI_ISL_509740,2020-03-26,North America,USA,Florida,North America,USA,
hCoV-19/Singapore/421/2020|EPI_ISL_475952|2020-04-09|Asia,Singapore/421/2020,EPI_ISL_475952,2020-04-09,Asia,Asia,Asia,Asia,Asia,
hCoV-19/Singapore/232/2020|EPI_ISL_462350|2020-03-31|Asia,Singapore/232/2020,EPI_ISL_462350,2020-03-31,Asia,Asia,Asia,Asia,Asia,
hCoV-19/Panama/332252/2020|EPI_ISL_496706|2020-03-23|NorthAmerica,Panama/332252/2020,EPI_ISL_496706,2020-03-23,North America,Panama,Guna Yala,North America,Panama,
hCoV-19/USA/FL-BPHL-0595/2020|EPI_ISL_508799|2020-03-24|NorthAmerica,USA/FL-BPHL-0595/2020,EPI_ISL_508799,2020-03-24,North America,USA,Florida,North America,USA,
hCoV-19/USA/OH-OSUP0016/2020|EPI_ISL_427288|2020-03-31|NorthAmerica,USA/OH-OSUP0016/2020,EPI_ISL_427288,2020-03-31,North America,USA,Ohio,North America,USA,
hCoV-19/USA/DC-CDC-8704/2020|EPI_ISL_576178|2020-04-21|NorthAmerica,USA/DC-CDC-8704/2020,EPI_ISL_576178,2020-04-21,North America,USA,Washington DC,North America,USA,
hCoV-19/USA/MD-HP00883/2020|EPI_ISL_511872|2020-04-04|NorthAmerica,USA/MD-HP00883/2020,EPI_ISL_511872,2020-04-04,North America,USA,Maryland,North America,USA,
hCoV-19/Panama/330671/2020|EPI_ISL_496669|2020-03-18|NorthAmerica,Panama/330671/2020,EPI_ISL_496669,2020-03-18,North America,Panama,Colon,North America,Panama,
hCoV-19/Panama/339494/2020|EPI_ISL_496895|2020-04-11|NorthAmerica,Panama/339494/2020,EPI_ISL_496895,2020-04-11,North America,Panama,Colon,North America,Panama,
hCoV-19/Panama/339160/2020|EPI_ISL_496892|2020-04-10|NorthAmerica,Panama/339160/2020,EPI_ISL_496892,2020-04-10,North America,Panama,Colon,North America,Panama,
hCoV-19/USA/HI-QDX-759/2020|EPI_ISL_571528|2020-03-18|NorthAmerica,USA/HI-QDX-759/2020,EPI_ISL_571528,2020-03-18,North America,USA,Hawaii,North America,USA,
hCoV-19/Taiwan/NTU13/2020|EPI_ISL_422415|2020-03-17|Asia,Taiwan/NTU13/2020,EPI_ISL_422415,2020-03-17,Asia,Asia,Asia,North America,North America,North America
hCoV-19/USA/TX-HMH0209/2020|EPI_ISL_434884|2020-03-24|NorthAmerica,USA/TX-HMH0209/2020,EPI_ISL_434884,2020-03-24,North America,USA,Texas,North America,USA,
hCoV-19/USA/TX-HMH0322/2020|EPI_ISL_434934|2020-03-28|NorthAmerica,USA/TX-HMH0322/2020,EPI_ISL_434934,2020-03-28,North America,USA,Texas,North America,USA,
hCoV-19/Panama/329536/2020|EPI_ISL_496631|2020-03-12|NorthAmerica,Panama/329536/2020,EPI_ISL_496631,2020-03-12,North America,Panama,Panama Oeste,North America,Panama,
hCoV-19/USA/IL-UW-126/2020|EPI_ISL_427433|2020-04-11|NorthAmerica,USA/IL-UW-126/2020,EPI_ISL_427433,2020-04-11,North America,USA,Illinois,North America,USA,
hCoV-19/USA/IL-UW-143/2020|EPI_ISL_427450|2020-04-13|NorthAmerica,USA/IL-UW-143/2020,EPI_ISL_427450,2020-04-13,North America,USA,Illinois,North America,USA,
hCoV-19/USA/VI-CDC-3638/2020|EPI_ISL_464167|2020-03-19|NorthAmerica,USA/VI-CDC-3638/2020,EPI_ISL_464167,2020-03-19,North America,USA,Virgin Islands,North America,USA,
hCoV-19/Taiwan/CGMH-CGU-29/2020|EPI_ISL_464093|2020-04-02|Asia,Taiwan/CGMH-CGU-29/2020,EPI_ISL_464093,2020-04-02,Asia,Asia,Asia,Asia,Asia,
hCoV-19/USA/MD-HP00030/2020|EPI_ISL_434686|2020-03-20|NorthAmerica,USA/MD-HP00030/2020,EPI_ISL_434686,2020-03-20,North America,USA,Maryland,North America,USA,
hCoV-19/Panama/334144/2020|EPI_ISL_496767|2020-03-24|NorthAmerica,Panama/334144/2020,EPI_ISL_496767,2020-03-24,North America,Panama,Colon,North America,Panama,
hCoV-19/Panama/333694/2020|EPI_ISL_496753|2020-03-23|NorthAmerica,Panama/333694/2020,EPI_ISL_496753,2020-03-23,North America,Panama,Colon,North America,Panama,
hCoV-19/Panama/333937/2020|EPI_ISL_496756|2020-03-23|NorthAmerica,Panama/333937/2020,EPI_ISL_496756,2020-03-23,North America,Panama,Colon,North America,Panama,
hCoV-19/USA/VA-DCLS-0098/2020|EPI_ISL_434592|2020-04-10|NorthAmerica,USA/VA-DCLS-0098/2020,EPI_ISL_434592,2020-04-10,North America,USA,Virginia,North America,USA,
hCoV-19/USA/WI-WSLH-200133/2020|EPI_ISL_578361|2020-04-23|NorthAmerica,USA/WI-WSLH-200133/2020,EPI_ISL_578361,2020-04-23,North America,USA,Wisconsin,North America,USA,
hCoV-19/Panama/335925/2020|EPI_ISL_496827|2020-04-03|NorthAmerica,Panama/335925/2020,EPI_ISL_496827,2020-04-03,North America,Panama,Panama Center,North America,Panama,
hCoV-19/Panama/334333/2020|EPI_ISL_496774|2020-03-30|NorthAmerica,Panama/334333/2020,EPI_ISL_496774,2020-03-30,North America,Panama,Panama Oeste,North America,Panama,
hCoV-19/Panama/329682/2020|EPI_ISL_496642|2020-03-06|NorthAmerica,Panama/329682/2020,EPI_ISL_496642,2020-03-06,North America,Panama,Santiago de Veraguas,North America,Panama,
hCoV-19/Panama/329879/2020|EPI_ISL_496654|2020-03-14|NorthAmerica,Panama/329879/2020,EPI_ISL_496654,2020-03-14,North America,Panama,Santiago de Veraguas,North America,Panama,
hCoV-19/Panama/335903/2020|EPI_ISL_496825|2020-04-03|NorthAmerica,Panama/335903/2020,EPI_ISL_496825,2020-04-03,North America,Panama,Cocle,North America,Panama,
hCoV-19/Panama/331186/2020|EPI_ISL_496681|2020-03-06|NorthAmerica,Panama/331186/2020,EPI_ISL_496681,2020-03-06,North America,Panama,Panama Oeste,North America,Panama,
hCoV-19/Panama/328710/2020|EPI_ISL_496606|2020-02-20|NorthAmerica,Panama/328710/2020,EPI_ISL_496606,2020-02-20,North America,Panama,Panama Center,North America,Panama,
hCoV-19/Panama/333271/2020|EPI_ISL_496736|2020-02-23|NorthAmerica,Panama/333271/2020,EPI_ISL_496736,2020-02-23,North America,Panama,Panama Center,North America,Panama,
hCoV-19/Panama/335885/2020|EPI_ISL_496824|2020-04-03|NorthAmerica,Panama/335885/2020,EPI_ISL_496824,2020-04-03,North America,Panama,Herrera,North America,Panama,
hCoV-19/Panama/329446/2020|EPI_ISL_496630|2020-03-09|NorthAmerica,Panama/329446/2020,EPI_ISL_496630,2020-03-09,North America,Panama,Colon,North America,Panama,
hCoV-19/Panama/332238/2020|EPI_ISL_496705|2020-03-14|NorthAmerica,Panama/332238/2020,EPI_ISL_496705,2020-03-14,North America,Panama,Cocle,North America,Panama,
hCoV-19/Panama/337884/2020|EPI_ISL_496865|2020-04-08|NorthAmerica,Panama/337884/2020,EPI_ISL_496865,2020-04-08,North America,Panama,Panama Oeste,North America,Panama,
hCoV-19/Panama/332298/2020|EPI_ISL_496708|2020-03-20|NorthAmerica,Panama/332298/2020,EPI_ISL_496708,2020-03-20,North America,Panama,Panama Center,North America,Panama,
hCoV-19/Panama/340836/2020|EPI_ISL_496906|2020-04-14|NorthAmerica,Panama/340836/2020,EPI_ISL_496906,2020-04-14,North America,Panama,Panama Oeste,North America,Panama,
hCoV-19/Panama/332311/2020|EPI_ISL_496709|2020-03-22|NorthAmerica,Panama/332311/2020,EPI_ISL_496709,2020-03-22,North America,Panama,Panama Oeste,North America,Panama,
hCoV-19/Panama/335002/2020|EPI_ISL_496800|2020-04-01|NorthAmerica,Panama/335002/2020,EPI_ISL_496800,2020-04-01,North America,Panama,Panama Oeste,North America,Panama,
hCoV-19/Panama/338634/2020|EPI_ISL_496870|2020-04-09|NorthAmerica,Panama/338634/2020,EPI_ISL_496870,2020-04-09,North America,Panama,Guna Yala,North America,Panama,
hCoV-19/Panama/335862/2020|EPI_ISL_496822|2020-04-03|NorthAmerica,Panama/335862/2020,EPI_ISL_496822,2020-04-03,North America,Panama,Panama Oeste,North America,Panama,
hCoV-19/Panama/328723/2020|EPI_ISL_496609|2020-02-17|NorthAmerica,Panama/328723/2020,EPI_ISL_496609,2020-02-17,North America,Panama,Panama Center,North America,Panama,
hCoV-19/Panama/328719/2020|EPI_ISL_496607|2020-02-22|NorthAmerica,Panama/328719/2020,EPI_ISL_496607,2020-02-22,North America,Panama,Panama Center,North America,Panama,
hCoV-19/Spain/AN-ISCIII-201613/2020|EPI_ISL_455316|2020-03-05|Europe,Spain/AN-ISCIII-201613/2020,EPI_ISL_455316,2020-03-05,Europe,Europe,Europe,Europe,Europe,
hCoV-19/Panama/332822/2020|EPI_ISL_496725|2020-03-25|NorthAmerica,Panama/332822/2020,EPI_ISL_496725,2020-03-25,North America,Panama,Panama Center,North America,Panama,
hCoV-19/Spain/PV-IBV-000860/2020|EPI_ISL_452692|2020-02-29|Europe,Spain/PV-IBV-000860/2020,EPI_ISL_452692,2020-02-29,Europe,Europe,Europe,Europe,Europe,
hCoV-19/Spain/VC-FISABIO-54/2020|EPI_ISL_425178|2020-02-28|Europe,Spain/VC-FISABIO-54/2020,EPI_ISL_425178,2020-02-28,Europe,Europe,Europe,Europe,Europe,
hCoV-19/Spain/VC-FISABIO-5/2020|EPI_ISL_416484|2020-02-27|Europe,Spain/VC-FISABIO-5/2020,EPI_ISL_416484,2020-02-27,Europe,Europe,Europe,Europe,Europe,
hCoV-19/Australia/VIC126/2020|EPI_ISL_419728|2020-03-20|Oceania,Australia/VIC126/2020,EPI_ISL_419728,2020-03-20,Oceania,Oceania,Oceania,Oceania,Oceania,
hCoV-19/USA/WY-WYPHL-00024/2020|EPI_ISL_462917|2020-03-22|NorthAmerica,USA/WY-WYPHL-00024/2020,EPI_ISL_462917,2020-03-22,North America,USA,Wyoming,North America,USA,
hCoV-19/USA/AZ-TG271862/2020|EPI_ISL_426483|2020-03-22|NorthAmerica,USA/AZ-TG271862/2020,EPI_ISL_426483,2020-03-22,North America,USA,Arizona,North America,USA,
hCoV-19/Panama/334610/2020|EPI_ISL_496786|2020-03-31|NorthAmerica,Panama/334610/2020,EPI_ISL_496786,2020-03-31,North America,Panama,Panama Center,North America,Panama,
hCoV-19/Panama/334559/2020|EPI_ISL_496784|2020-03-30|NorthAmerica,Panama/334559/2020,EPI_ISL_496784,2020-03-30,North America,Panama,Colon,North America,Panama,
hCoV-19/Panama/328706/2020|EPI_ISL_496604|2020-03-05|NorthAmerica,Panama/328706/2020,EPI_ISL_496604,2020-03-05,North America,Panama,Panama Center,Europe,Europe,Europe
hCoV-19/Vietnam/HCMC-35016/2020|EPI_ISL_450741|2020-03-20|Asia,Vietnam/HCMC-35016/2020,EPI_ISL_450741,2020-03-20,Asia,Asia,Asia,Asia,Asia,
hCoV-19/Colombia/NAR-INS-94679/2020|EPI_ISL_498162|2020-03-30|SouthAmerica,Colombia/NAR-INS-94679/2020,EPI_ISL_498162,2020-03-30,South America,South America,South America,South America,South America,
hCoV-19/Luxembourg/LNS6325758/2020|EPI_ISL_429743|2020-03-29|Europe,Luxembourg/LNS6325758/2020,EPI_ISL_429743,2020-03-29,Europe,Europe,Europe,Europe,Europe,
hCoV-19/Panama/330413/2020|EPI_ISL_496663|2020-03-13|NorthAmerica,Panama/330413/2020,EPI_ISL_496663,2020-03-13,North America,Panama,Panama Oeste,North America,Panama,
hCoV-19/Mexico/CMX-INCMNSZ-02/2020|EPI_ISL_426362|2020-03-10|NorthAmerica,Mexico/CMX-INCMNSZ-02/2020,EPI_ISL_426362,2020-03-10,North America,Mexico,Mexico City,North America,Mexico,
hCoV-19/Panama/330722/2020|EPI_ISL_496670|2020-03-13|NorthAmerica,Panama/330722/2020,EPI_ISL_496670,2020-03-13,North America,Panama,Panama Center,North America,Panama,
hCoV-19/Panama/330547/2020|EPI_ISL_496666|2020-03-14|NorthAmerica,Panama/330547/2020,EPI_ISL_496666,2020-03-14,North America,Panama,Cocle,North America,Panama,
hCoV-19/Panama/335013/2020|EPI_ISL_496801|2020-04-01|NorthAmerica,Panama/335013/2020,EPI_ISL_496801,2020-04-01,North America,Panama,Cocle,North America,Panama,
hCoV-19/Kazakhstan/7263/2020|EPI_ISL_454571|2020-03-25|Asia,Kazakhstan/7263/2020,EPI_ISL_454571,2020-03-25,Asia,Asia,Asia,Asia,Asia,
hCoV-19/Poland/Wro-02/2020|EPI_ISL_437625|2020-03-18|Europe,Poland/Wro-02/2020,EPI_ISL_437625,2020-03-18,Europe,Europe,Europe,Europe,Europe,
hCoV-19/Panama/332810/2020|EPI_ISL_496724|2020-03-23|NorthAmerica,Panama/332810/2020,EPI_ISL_496724,2020-03-23,North America,Panama,Panama Center,North America,Panama,
hCoV-19/Panama/335941/2020|EPI_ISL_496829|2020-04-03|NorthAmerica,Panama/335941/2020,EPI_ISL_496829,2020-04-03,North America,Panama,Panama Oeste,North America,Panama,
hCoV-19/Panama/336567/2020|EPI_ISL_496853|2020-04-05|NorthAmerica,Panama/336567/2020,EPI_ISL_496853,2020-04-05,North America,Panama,Panama Oeste,North America,Panama,
hCoV-19/Panama/336377/2020|EPI_ISL_496844|2020-04-04|NorthAmerica,Panama/336377/2020,EPI_ISL_496844,2020-04-04,North America,Panama,Panama Oeste,North America,Panama,
hCoV-19/Kazakhstan/7341/2020|EPI_ISL_454572|2020-03-25|Asia,Kazakhstan/7341/2020,EPI_ISL_454572,2020-03-25,Asia,Asia,Asia,Asia,Asia,
hCoV-19/Kazakhstan/22044/2020|EPI_ISL_454584|2020-04-21|Asia,Kazakhstan/22044/2020,EPI_ISL_454584,2020-04-21,Asia,Asia,Asia,Asia,Asia,
hCoV-19/Kazakhstan/17920/2020|EPI_ISL_454577|2020-04-15|Asia,Kazakhstan/17920/2020,EPI_ISL_454577,2020-04-15,Asia,Asia,Asia,Asia,Asia,
hCoV-19/Kazakhstan/22001/2020|EPI_ISL_454582|2020-04-23|Asia,Kazakhstan/22001/2020,EPI_ISL_454582,2020-04-23,Asia,Asia,Asia,Asia,Asia,
hCoV-19/Panama/328709/2020|EPI_ISL_496605|2020-02-28|NorthAmerica,Panama/328709/2020,EPI_ISL_496605,2020-02-28,North America,Panama,Panama Center,North America,Panama,
hCoV-19/Panama/336008/2020|EPI_ISL_496833|2020-04-03|NorthAmerica,Panama/336008/2020,EPI_ISL_496833,2020-04-03,North America,Panama,Panama Oeste,North America,Panama,
hCoV-19/Panama/333181/2020|EPI_ISL_496734|2020-03-19|NorthAmerica,Panama/333181/2020,EPI_ISL_496734,2020-03-19,North America,Panama,Colon,North America,Panama,
hCoV-19/Panama/335922/2020|EPI_ISL_496826|2020-04-03|NorthAmerica,Panama/335922/2020,EPI_ISL_496826,2020-04-03,North America,Panama,Panama Center,North America,Panama,
hCoV-19/Panama/332668/2020|EPI_ISL_496716|2020-03-23|NorthAmerica,Panama/332668/2020,EPI_ISL_496716,2020-03-23,North America,Panama,Panama Center,North America,Panama,
hCoV-19/Panama/338777/2020|EPI_ISL_496885|2020-04-09|NorthAmerica,Panama/338777/2020,EPI_ISL_496885,2020-04-09,North America,Panama,Panama Center,North America,Panama,
hCoV-19/Panama/331074/2020|EPI_ISL_496680|2020-03-18|NorthAmerica,Panama/331074/2020,EPI_ISL_496680,2020-03-18,North America,Panama,Panama Oeste,North America,Panama,
hCoV-19/Panama/337358/2020|EPI_ISL_496859|2020-04-07|NorthAmerica,Panama/337358/2020,EPI_ISL_496859,2020-04-07,North America,Panama,Panama Center,North America,Panama,
hCoV-19/Panama/334280/2020|EPI_ISL_496772|2020-03-28|NorthAmerica,Panama/334280/2020,EPI_ISL_496772,2020-03-28,North America,Panama,Herrera,North America,Panama,
